episode,ep_reward,pre_mean_slo_miss,post_mean_slo_miss,llm_calls,llm_init_latency_ms
1,-11663.2718359455,0.8713265507214765,0.8830159839064844,0.0,0.0
2,-10405.263281863121,0.751389657718625,0.8041804281468062,0.0,0.0
3,-6140.334151265394,0.26443448332115954,0.626760880462994,0.0,0.0
4,-2890.3672161017307,0.09400358978935061,0.2884906474876506,0.0,0.0
5,-4230.985719914193,0.21825469213529078,0.36886706180336803,0.0,0.0
6,-6893.437187070741,0.3515989175312047,0.654285913988196,0.0,0.0
7,-5257.85471116431,0.2231936693136113,0.5310122247686859,0.0,0.0
8,-7586.043473932945,0.4389769449396801,0.6762513261825046,0.0,0.0
9,-6772.727486979205,0.305617807756379,0.6866648612413048,0.0,0.0
10,-8278.26312748354,0.4784773704670948,0.7494145272381199,0.0,0.0
11,-11831.405337839018,0.8496404045341039,0.9349613581074955,0.0,0.0
12,-9732.200206696703,0.6310252098838756,0.8213253419946829,0.0,0.0
13,-6674.860240831931,0.6184462128674802,0.3451084872485183,0.0,0.0
14,-5626.613316651587,0.40691397649224903,0.3967119255534628,0.0,0.0
15,-2168.8653772314974,0.08454132129869678,0.18043943868575615,0.0,0.0
16,-6362.833167632274,0.38605503958284926,0.5301724742571119,0.0,0.0
17,-5232.409054665148,0.33444984743225126,0.4082898811114867,0.0,0.0
18,-4885.796459246182,0.28290719521156266,0.40665403400878125,0.0,0.0
19,-4450.272799816543,0.22475848389432573,0.3980176610701255,0.0,0.0
20,-5797.990193665769,0.31800115007263224,0.5177196560730426,0.0,0.0
21,-6089.3089225728945,0.45398521593243407,0.42172021779697,0.0,0.0
22,-3420.004800078309,0.06781412615768588,0.3952479075425166,0.0,0.0
23,-7426.079311396032,0.5031794620085573,0.5849783716545263,0.0,0.0
24,-8800.34111613364,0.5616824799238703,0.7405742863497302,0.0,0.0
25,-7332.651089475217,0.5314476522465583,0.5381050684823052,0.0,0.0
26,-5841.188122516153,0.48897944100066404,0.3494580097970339,0.0,0.0
27,-6760.550141265241,0.5360223056077332,0.4474736722755663,0.0,0.0
28,-3879.7443512976815,0.3360855476515025,0.1966932491108888,0.0,0.0
29,-4022.089089770087,0.08592166667383307,0.47243894393610397,0.0,0.0
30,-4185.905222305508,0.09493833412209084,0.4868309787592122,0.0,0.0
31,-5346.237988059411,0.23052131898537526,0.5349695962821137,0.0,0.0
32,-6367.437942295844,0.4152574396656541,0.5050841701827331,0.0,0.0
33,-3131.7811602377615,0.16485463785630552,0.25364729642639494,0.0,0.0
34,-5122.241090564969,0.3992327882461112,0.32512872741763216,0.0,0.0
35,-2667.2992795988084,0.09066830180716957,0.250414809193959,0.0,0.0
36,-4398.190108615014,0.27109896241726505,0.3457844567619255,0.0,0.0
37,-5490.462792216138,0.3382214615646092,0.4431131213781039,0.0,0.0
38,-1894.9393697782941,0.06988272337004932,0.15399852893506386,0.0,0.0
39,-3800.1949671703405,0.15899670098867977,0.3627116634479244,0.0,0.0
40,-5828.873907966523,0.4269696730284055,0.40892282613641684,0.0,0.0
41,-3839.315353598452,0.11117443392817469,0.42152068826279543,0.0,0.0
42,-4174.4443816234425,0.28502665668247923,0.29301681358782766,0.0,0.0
43,-4224.403420779002,0.2275874465172001,0.3580507877179692,0.0,0.0
44,-4997.021287762494,0.38880822394078834,0.31391498844209065,0.0,0.0
45,-3711.2992832658892,0.10886451832803669,0.3983492982547507,0.0,0.0
46,-5359.106343334436,0.3383181400680712,0.42225936878466636,0.0,0.0
47,-5060.713730784884,0.2404025351344882,0.4768930690704088,0.0,0.0
48,-3063.17262406125,0.07946253410851843,0.3289900006068413,0.0,0.0
49,-2156.217596684925,0.1138022815548504,0.14624162483913203,0.0,0.0
50,-3264.7960623397057,0.05465612068094857,0.38533438339083786,0.0,0.0
51,-5840.974680396704,0.38174466396369455,0.4597238357666455,0.0,0.0
52,-6436.659586955714,0.7531044045976474,0.17283640061808228,0.0,0.0
53,-1413.8829446833254,0.08948807191191697,0.05687867336659377,0.0,0.0
54,-2880.67379602825,0.19505056631241832,0.18148254386439788,0.0,0.0
55,-1160.2686818935115,0.04962862036838355,0.05787419371038825,0.0,0.0
56,-3951.4796058030465,0.011478725857545032,0.5379968025300061,0.0,0.0
57,-4162.702030457187,0.21876378585120734,0.35939061596773086,0.0,0.0
58,-2252.0008168512463,0.08452126884993154,0.19352863329032044,0.0,0.0
59,-3812.505243858817,0.010425440723596835,0.5179782412267049,0.0,0.0
60,-5071.61936952577,0.2913731281841377,0.42852707140836777,0.0,0.0
61,-4520.458286594097,0.18421735244277257,0.45381939790905096,0.0,0.0
62,-4197.940014828443,0.19719466904925526,0.38578161173397235,0.0,0.0
63,-2896.618511237245,0.1511414392999541,0.22679968849155818,0.0,0.0
64,-3930.7327443389736,0.3005464492788835,0.2373401331426288,0.0,0.0
65,-2521.9858722806553,0.1681367236232175,0.1561668947012126,0.0,0.0
66,-1334.6239102660643,0.023622901251296447,0.1103955409297634,0.0,0.0
67,-2580.5975298088306,0.09919560971628448,0.23196420390391898,0.0,0.0
68,-4223.23160485472,0.2717342324778683,0.30997263553693966,0.0,0.0
69,-3809.7725103690113,0.2682519435820055,0.24639535255646358,0.0,0.0
70,-2278.9024019295634,0.021675426027644166,0.2676695282329123,0.0,0.0
71,-2336.244032441652,0.11040489477206776,0.18028766969288124,0.0,0.0
72,-1220.8668800783732,0.00992381440499565,0.1093101117393336,0.0,0.0
73,-1953.8819185867,0.011061696765978764,0.2208659045772784,0.0,0.0
74,-3906.825470296407,0.1475670926961455,0.3862020197556393,0.0,0.0
75,-3735.2845444355294,0.07213961480015384,0.44257027338545646,0.0,0.0
76,-5225.929845389893,0.25742084112539687,0.47981109477414874,0.0,0.0
77,-2504.987275538386,0.012461361638432264,0.30233854440971925,0.0,0.0
78,-5576.398630667867,0.35268594200721537,0.4397947763273594,0.0,0.0
79,-6585.668399074259,0.4856625359130496,0.4652737288561073,0.0,0.0
80,-4643.201851402698,0.30997402198626633,0.33799897078958124,0.0,0.0
81,-2412.3738484414366,0.010599195294261479,0.2980775237698281,0.0,0.0
82,-3408.4802823920986,0.07774206608618832,0.3843903376892726,0.0,0.0
83,-3781.063143870733,0.18266960066223,0.33441823659898745,0.0,0.0
84,-2815.316475059639,0.19986371506259876,0.16616312148075846,0.0,0.0
85,-3653.991250556661,0.20517969690705662,0.29049847371083937,0.0,0.0
86,-2885.7775944064733,0.045688248701600764,0.3337520809996898,0.0,0.0
87,-1927.9754241663688,0.05204966324269297,0.17715731358146491,0.0,0.0
88,-2051.0452430887385,0.01139083074230291,0.23448630502304837,0.0,0.0
89,-985.099915601553,0.012555007669579645,0.06396998991610355,0.0,0.0
90,-1592.1918557043548,0.06079323109524878,0.11408242807033939,0.0,0.0
91,-3247.1022544476746,0.12014347361400922,0.3166699162216955,0.0,0.0
92,-2486.854360040933,0.024422560027727025,0.2931469913605274,0.0,0.0
93,-2438.118263413832,0.09493595660894752,0.21610182061817831,0.0,0.0
94,-4093.735633345321,0.16080538564350053,0.4080241607436969,0.0,0.0
95,-2344.196713321931,0.03509091538550569,0.26153051694284946,0.0,0.0
96,-2034.1487174909755,0.08230237007071661,0.16411386101733105,0.0,0.0
97,-2059.983146433486,0.020799351699007217,0.22979103464830294,0.0,0.0
98,-2960.0118821757874,0.064026987862866,0.3286797183458951,0.0,0.0
99,-2827.374661260032,0.13185581703852758,0.23670712610155756,0.0,0.0
100,-2700.763485249341,0.06915990973762479,0.28322093272464327,0.0,0.0
101,-4820.487742016345,0.2782840406230884,0.4014921276988226,0.0,0.0
102,-1001.7615699915784,0.013749516475385798,0.06941127410916809,0.0,0.0
103,-3886.2095125659816,0.2912230247828836,0.23940894044479058,0.0,0.0
104,-2595.7303216148985,0.013801844173181872,0.3198362553297034,0.0,0.0
105,-3097.3816374762746,0.24830400701102143,0.1609101354921735,0.0,0.0
106,-1452.9866041466562,0.021960685283632948,0.13284912365429283,0.0,0.0
107,-1253.1612771797827,0.011786261511231412,0.10960107640700989,0.0,0.0
108,-4494.994538487003,0.17930938743881988,0.4524606667479361,0.0,0.0
109,-3509.581227816442,0.013233166403187375,0.46728260903259383,0.0,0.0
110,-3579.9320573794453,0.08183446985187663,0.4090633841975119,0.0,0.0
111,-1554.4390661042767,0.07833308131850222,0.0906448856414225,0.0,0.0
112,-2034.1468104040828,0.010239640666202926,0.23582338568110342,0.0,0.0
113,-750.1354179345602,0.0112574612144177,0.03319995096855248,0.0,0.0
114,-1258.7649979449275,0.07723940688933985,0.04620625101847655,0.0,0.0
115,-1377.335358892338,0.10230551641334566,0.03615063019522829,0.0,0.0
116,-1868.5554863969312,0.08232949306095703,0.13277489044386842,0.0,0.0
117,-1526.9965129549296,0.010572592256673934,0.15566088701825828,0.0,0.0
118,-697.426510700484,0.010127156278455207,0.02305214267364563,0.0,0.0
119,-1513.000728839243,0.06846813211883349,0.09312788392195265,0.0,0.0
120,-2122.1978876389912,0.07471684060184305,0.182952573978348,0.0,0.0
